,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,VADER score
321,25/10/2019 05:07,1,1,"So in this case, you prefer we import finished steel instead of iron ore that can easily be fed into the line...",,,,"1,18764E+18",https://twitter.com/AmuzatOladimeji/status/1187641945981706240,0.34
322,25/10/2019 05:07,0,4,"It's ok to have Ajaukuta Running. You can have so many NIOMCO running as feeders to Ajaukuta. We have so much Iron Ore in country. Note, Blast Furnace technology is good for so many grades of ore.",,,,"1,18764E+18",https://twitter.com/MOD_Okoto/status/1187641881729142784,0.6249
323,25/10/2019 05:04,0,1,"Having successfully automated haulage operations at its Brucutu mine in Minas Gerais, Vale is set to introduce autonomous haul trucks at the world's largest open-pit iron ore operation, Carajás, in Pará, Brazil | http:// bit.ly/342Xw9z @valeglobal #automation #futureofmining pic.twitter.com/YiCx9HqnHp",,@valeglobal,#automation #futureofmining,"1,18764E+18",https://twitter.com/im_mining/status/1187641099990523904,0.4939
328,25/10/2019 04:47,4,3,China gobbles up iron ore amid less severe winter steel curbs - column by @ClydeCommods https:// reut.rs/2We3thc pic.twitter.com/5EbqxUnBSE,,@ClydeCommods,,"1,18764E+18",https://twitter.com/ReutersCommods/status/1187636814116478976,-0.3197
333,25/10/2019 04:32,6,5,China’s old-school appetite for iron ore has catapulted Fortescue Metals Group Ltd. ahead of some of the hottest tech sector giants and a fast-food behemoth as one of this year’s best performing global stocks. via @David_Stringer https://www. bloomberg.com/news/articles/ 2019-10-25/miner-outpacing-tech-giants-burrito-icon-says-gains-can-last …,,@David_Stringer,,"1,18763E+18",https://twitter.com/krystalchia/status/1187632946187882496,0.6369
334,25/10/2019 04:11,1,3,"Sir Ajaokuta is not a restricted zone, I went there...i did my research.. Go there, do your own research. Find out why no steel from local iron ore has been made in Ajaokuta in 35 years.",,,,"1,18763E+18",https://twitter.com/FinPlanKaluAja1/status/1187627772241309696,-0.0041
337,25/10/2019 03:55,1,1,"Our iron ore could be treated to make it suitable for making steel right? That's where NIMOCO comes in, the downside would be the investment needed to accomplish this and the cost of the steel made in comparison to imported ones right? Do we have any data on that?",,,,"1,18762E+18",https://twitter.com/damiosunkoya/status/1187623758044860417,0.327
338,25/10/2019 03:54,5,8,"China's appetite for #ironore rermains robust, with strong October imports estimated by #Refinitiv . This indicates concern over winter #steel output curbs may be misplaced. #China #cokingcoal https:// uk.reuters.com/article/column -russell-ironore-china/column-china-gobbles-up-iron-ore-amid-less-severe-winter-steel-curbs-russell-idUKL3N27946O … pic.twitter.com/hWL5h89SPQ",,,#ironore #Refinitiv #steel #China #cokingcoal,"1,18762E+18",https://twitter.com/ClydeCommods/status/1187623448144744448,0.6908
339,25/10/2019 03:52,0,1,"iron ore is a cyclical game/range trade now, the big macro trends came and went",,,,"1,18762E+18",https://twitter.com/Callum_Thomas/status/1187623055264059393,0.0
343,25/10/2019 03:37,8,10,China’s old-school appetite for iron ore has catapulted a miner ahead of some of the hottest tech sector giants as one of this year’s best performing global stocks https:// bloom.bg/31JguR8 pic.twitter.com/SyU7vavxXh,,,,"1,18762E+18",https://twitter.com/business/status/1187619070071455744,0.6369
349,25/10/2019 02:55,13,4,"Even my speed is faster than yours, the tortoise seems to be saying to the concerned authorities regarding the inordinate delay in restarting of #GoaMining operations. #FridayThoughts #ironore #Goa @My_Goa_ @GoaLivelihoods @suhelnarvekar @ssjoshssjosh @goacm #BJP @Indiamining https:// twitter.com/Suchenbab/stat us/1186965391370637312 … pic.twitter.com/h3XxF1dx87",,@My_Goa_ @GoaLivelihoods @suhelnarvekar @ssjoshssjosh @goacm @Indiamining,#GoaMining #FridayThoughts #ironore #Goa #BJP,"1,18761E+18",https://twitter.com/Suchenbab/status/1187608546440953857,-0.3182
350,25/10/2019 02:39,2,6,...meanwhile here's an interesting little chart for #IronOre I had forgotten about (tucked away at the back of an old commodities chart library) pic.twitter.com/lrfEA5sX4y,,,#IronOre,"1,1876E+18",https://twitter.com/Callum_Thomas/status/1187604518692802562,0.2023
351,25/10/2019 02:39,2,6,"So with that bounce off support we have a pretty clear line in the dirt"" for iron ore (in terms of risk management/triggers on the downside)... pic.twitter.com/Yp1PUjS5pM""",,,,"1,1876E+18",https://twitter.com/Callum_Thomas/status/1187604509347856386,0.6124
353,25/10/2019 02:18,0,3,"Wrecking the economy yeah sure Dane. Trying to save a property market where the RBA created a massive bubble more likely Be careful what you ask for. Not sure the RBA can actually raise rates if they wanted to, they have dug the hole so deep. Property, population & iron ore .",,,,"1,1876E+18",https://twitter.com/psimpsonmorgan/status/1187599175468191744,0.8971
354,25/10/2019 02:05,0,1,Cant believe i am reading folks supporting importing Iron Ore ...,,,,"1,1876E+18",https://twitter.com/FinPlanKaluAja1/status/1187595973037395969,0.4404
355,25/10/2019 02:00,0,1,Friday fun fact Australia’s top 10 exports ranked by value in FY2017–18 were: iron ore coal education-related services natural gas personal travel services (excluding education) gold aluminium beef crude petroleum copper ore 15.5% increase in Education services to $32.4 b pic.twitter.com/2ryfSwokKO,,,,"1,18759E+18",https://twitter.com/WSMLLEN/status/1187594770605953024,0.765
358,25/10/2019 01:49,0,1,"Of course, that is till we find a solution to the NIOMCO debacle, find a lasting solution to the itakpe iron or discover an alternative iron ore deposit",,,,"1,18759E+18",https://twitter.com/baselmbrainzz/status/1187591883331194880,0.5574
359,25/10/2019 01:45,0,1,Sigh!!!! So what happens to the Nigerian Iron Ore ? Are you aware Nigeria has ore in abundance?,,,,"1,18759E+18",https://twitter.com/FinPlanKaluAja1/status/1187590966007365635,0.0
360,25/10/2019 01:42,0,2,one time i saw that thing smelt 8 iron ore with just one piece of coal. crazy,,,,"1,18759E+18",https://twitter.com/Cloud9Catcher/status/1187590176127647750,-0.34
362,25/10/2019 01:04,0,4,Because the process of converting iron ore to steel generates value and jobs. Just like converting cocoa to chocolates. There's nothing wrong with it if it'll make economic sense in the long term.,,,,"1,18758E+18",https://twitter.com/drdammie/status/1187580633293512704,0.7546
367,25/10/2019 00:04,0,2,"$ FMG what a winner. Cash at 3.4B and debt down to 500M, only 5 years ago they were sitting on 12B of debt with Iron Ore prices hitting low $40s in 2015 https:// twitter.com/miningcomau/st atus/1187489008915492864 …",,,,"1,18757E+18",https://twitter.com/PetarT89/status/1187565551549177857,-0.3182
368,25/10/2019 00:00,0,8,"Today's surprise assignment: Figuring out how to ship 500 kg of iron ore from Toronto to Tehran, Iran. So far the iron ore (valued at $48) is going to cost almost $3000 to ship. (I suspect nefarious purposes for this iron ore ) The stories of a SCM student...",,,,"1,18756E+18",https://twitter.com/calliope4112/status/1187564623861571584,-0.0258
370,24/10/2019 23:50,0,1,What will happen when all these self entitled farmers go broke? Who will buy the farms? We all know ? Where will our food end up? It’s the price of Free Trade Agreements. We buy Iron Ore you sell us your farms,,,,"1,18756E+18",https://twitter.com/steele_sports/status/1187562117416673282,0.6868
371,24/10/2019 23:37,2,7,"If we manufacture steel from imported iron ore , we add value! Which is what countries that want to develop do. Add value to raw material! Same thing countries without cocoa do to make chocolate! In fact, same thing countries that import raw materials do!",,,,"1,18756E+18",https://twitter.com/sulaimanaa/status/1187558888729726977,0.7405
372,24/10/2019 23:35,0,1,So if we could simply import ore why was NIAMCO set up? Show me any nation that has crude oil that imports crude oil.... Nations that import ore do so because their local ore cannot meet demand. Nigeria has millions of tons of iron ore,,,,"1,18756E+18",https://twitter.com/FinPlanKaluAja1/status/1187558292597248001,-0.7923
373,24/10/2019 23:33,4,6,2020 Forecast for IronOre pricing the best increase over other categories. $ LBRMF https:// twitter.com/mjhousiaux12/s tatus/1186819102683385856?s=21 …,,,,"1,18756E+18",https://twitter.com/MagplaneTechno1/status/1187557788618252288,0.7579
379,24/10/2019 22:18,0,3,"$ TAO 4 FOUR quality hematite Iron Ore project acquired. DSO, no love just yet but a real bargain. Looks like Brockman Resource before it was taken over. pic.twitter.com/W4zBALG6Xs",,,,"1,18754E+18",https://twitter.com/ParlayPay/status/1187538846172372992,0.7543
382,24/10/2019 21:53,1,4,"#Fitzy says juniors like #Fenix back in the hunt for #iron ore action, plus #nickel planets lining up for #Mincor $ FEx $ MCR . #Treadgold says #Chile unrest warming up #copper as #gold edges higher. Check our @RR_Stars #Weekly Wrap.... https:// twitter.com/rr_stars/statu s/1187515208526286855 …",,@RR_Stars,#Fitzy #Fenix #iron #nickel #Mincor #Treadgold #Chile #copper #gold #Weekly,"1,18753E+18",https://twitter.com/nicholas_read/status/1187532518636998656,0.4767
383,24/10/2019 21:38,3,4,"$ LBRMF is the only independently owned Canadian IronOre producer. Given the sale of Howse deposit in 2015 for $35Million to Tata, $ LBRMF might be an acquisition target by larger miners for their Houston project Fe-62% https://www. newswire.ca/news-releases/ labrador-iron-mines-completes-joint-venture-with-tata-steel-minerals-canada-to-develop-howse-deposit-512960521.html …",,,,"1,18753E+18",https://twitter.com/MagplaneTechno1/status/1187528843957035008,0.0
384,24/10/2019 21:15,1,5,#IronOre gráfico semanal do minério de ferro na China. pic.twitter.com/QuSpWARYUq,,,#IronOre,"1,18752E+18",https://twitter.com/DuctorMarcus/status/1187523116668542976,0.0
386,24/10/2019 21:06,0,1,"I know it’s long but I love that song! With a load of iron ore 26 thousand tons more, than the Edmund Fitzgerald weighed empty...",,,,"1,18752E+18",https://twitter.com/Danko_Richards/status/1187520708030672896,0.7959
388,24/10/2019 21:04,0,3,Who is your science teacher,,,,"1,18752E+18",https://twitter.com/Ironore14/status/1187520302508597248,0.0
392,24/10/2019 20:44,3,4,RRS Weekly Wrap | Juniors back in hunt for iron ore action; Chile unrest warms up copper as gold edges higher on more political uncertainty http:// bit.ly/2Ne6nOX #miningstocks #nickel #gold #ironore $ MCR $ FEX $ SAR $ SRI $ DEV pic.twitter.com/1Gm1r53Ghn,,,#miningstocks #nickel #gold #ironore,"1,18752E+18",https://twitter.com/RR_Stars/status/1187515208526286855,-0.1477
394,24/10/2019 20:29,0,1,"U said ASC will not work, even when 100% ."" FALSE! Nigeria has enormous reserve of up to 1billion metric tonnes of Iron ore both proven & unproven... All we need to do as a country is build capacity and technology in beneficiation..""",,,,"1,18751E+18",https://twitter.com/Ilori001/status/1187511405580341248,0.0
395,24/10/2019 20:20,2,33,$ TAO lol. Buying Iron Ore tenements from Tolga and his mates. They formed the company just 4 months ago. Another almighty play on retail. buyer Beware https://www. asx.com.au/asxpdf/2019102 5/pdf/449vysgfz94vbw.pdf …,,,,"1,18751E+18",https://twitter.com/stockswami/status/1187509112067608579,0.6369
397,24/10/2019 20:14,1,4,$ TAO -Option to acquire portfolio of Iron ore assets in WA. -Capital raise to fund acquisition upon SH approval. -Went from $0.009 at beginning of yr to $0.15. #ASX #mining https:// twitter.com/ParlayPay/stat us/1186808311099740160 …,,,#ASX #mining,"1,18751E+18",https://twitter.com/GraniteGrain/status/1187507744812613632,0.5859
400,24/10/2019 20:10,0,1,"Great photo from the heap leach team on site, they named this photo going well"" keep sending the photos guys. #MAXPlant #YourProjectPartner #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry pic.twitter.com/47R1jUj7IY""",,,#MAXPlant #YourProjectPartner #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry,"1,18751E+18",https://twitter.com/MAXPlantAu/status/1187506583904882688,0.7351
401,24/10/2019 20:09,0,3,"This is for clarity. I remember reading ur long thread, I really did liked it and appreciate ur elucidation & objectivity.. Remember what U said about beneficiation of Itakpe iron ore deposit? Ur post today goes against that.. I asked questions for clarity from U to learn",,,,"1,18751E+18",https://twitter.com/Ilori001/status/1187506340551430146,0.8905
404,24/10/2019 19:43,0,1,"Same sis, same",,,,"1,1875E+18",https://twitter.com/LukheleOreneile/status/1187499941024948224,0.0
405,24/10/2019 19:28,3,11,"Every reason to mention Zanaga, if only more people knew how good this is going to be @Zanaga_ Iron_Ore #zioc #zanaga https:// twitter.com/Brett69280804/ status/1187430752058777606 …",,@Zanaga_,#zioc #zanaga,"1,1875E+18",https://twitter.com/Rafaley/status/1187496203715563523,0.4404
406,24/10/2019 19:28,191,163,Rt if you have more followers than my science teacher pic.twitter.com/cV5vYUSWoe,,,,"1,1875E+18",https://twitter.com/Ironore14/status/1187496172430209024,0.0
408,24/10/2019 19:21,2,8,Zanaga will benefit from advantageous tax allowance for 4 years once production starts and the Congo gain loyalties and port revenue in return and thereafter. #zanaga #zioc @Zanaga_ Iron_Ore news due soon …... https:// twitter.com/bluejug2001/st atus/1187320556212965376 …,,@Zanaga_,#zanaga #zioc,"1,18749E+18",https://twitter.com/Rafaley/status/1187494404245864448,0.8957
410,24/10/2019 19:00,1,4,"Fortescue (ASX: $ FMG ) has recorded a bumper quarter on the back of a 5% increase in #IronOre shipments, with cash-on-hand doubling to $3.4 billion and net debt reducing to $500 million #Mining http:// ow.ly/8jCH50wTlEI",,,#IronOre #Mining,"1,18749E+18",https://twitter.com/miningcomau/status/1187489008915492864,-0.0516
414,24/10/2019 18:45,1,5,Nigerian Iron Ore quality too low for Steel manufacturing Thus NIOMCO,,,,"1,18749E+18",https://twitter.com/FinPlanKaluAja1/status/1187485391038763009,-0.2732
416,24/10/2019 18:31,0,2,"Not a single country on earth trades solely under WTO rules. The last one was Mauritania where between 1 and 17% of the population are in slavery and half their exports are iron ore , something the world needs and the UK has none.",,,,"1,18748E+18",https://twitter.com/JJHTweets/status/1187481685086134280,-0.7003
417,24/10/2019 18:28,1,7,"Further modest gains in iron ore spot markets on Thursday, continuing the move seen in the previous 2 sessions. MBIOI-62 +0.2% to $87.34. Lower grades outperformed. Dalian futures +1.1% to ¥628.5 in o/n trade. pic.twitter.com/sMgbC2Aict",,,,"1,18748E+18",https://twitter.com/Scutty/status/1187481050936512512,0.0516
419,24/10/2019 18:21,1,2,Importing iron ore ...WTF...haven't you heard or scap metals.. The Chinese had spoilt the market for iron ore refining.. They prefer to buy scrap metals and recycled it... This isn't gonna consume more resources... That is why Ajaokuta will just be a drain pipe for politicians,,,,"1,18748E+18",https://twitter.com/empopson/status/1187479145502035968,0.0
420,24/10/2019 18:19,0,1,Thought we had iron ore in Ajaokuta and itakpe,,,,"1,18748E+18",https://twitter.com/VoicingNigeria/status/1187478812415512576,0.0
422,24/10/2019 18:04,0,1,Ref wtf https:// twitter.com/btsportfootbal l/status/1187442005800112131 …,,,,"1,18747E+18",https://twitter.com/Iron_OreA1/status/1187474901315096580,-0.5859
424,24/10/2019 18:00,2,5,Eurozone shares +0.4% US shares +0.2% helped by mostly good earnings results for tech cos US 10 yr yld +0.4bp to 1.77% Oil +0.2% Gold +0.6% Iron ore +0.1% ASX futures +0.6% $ A 0.6817 as $ US index +0.2%,,,,"1,18747E+18",https://twitter.com/ShaneOliverAMP/status/1187473840382701568,0.743
426,24/10/2019 17:32,4,7,"US Close: Dow Jones -28pts or -0.1% S&P500 +5pts or +0.2% Nasdaq +66pts or +0.8% #Gold +0.6% to US$1,504.10/oz #Oil +0.5% to US$56.23/bl #ironore +0.1% or 10 cents to US$87.05/t SPI +42pts or +0.6% #AUDUSD $0.6820 #ausbiz",,,#Gold #Oil #ironore #AUDUSD #ausbiz,"1,18747E+18",https://twitter.com/CommSec/status/1187467043638923264,0.0
427,24/10/2019 17:32,0,1,"Can you spot steel in your household? From stainless-steel refrigerators to washing machines, North American steelmakers produce an array of products commonly used in appliances. https://www. steel.org/steel-markets/ appliances … pic.twitter.com/xlHZPGI3Ku",,,,"1,18747E+18",https://twitter.com/IronOreAlliance/status/1187466915893174274,0.0
429,24/10/2019 17:30,1,3,"Market view on TT: #NQ_F , #FTSE100 , #FESX and #TOPIX rose. #ES_F , #ZB_F , #Bund and #JGB fell. #Gilts rose. #Brent , #WTI , #sourcrude , #gas , #natgas , #gasoil , #gold , #silver , #palladium , #ironore , #DX_F and #cocoa rose. #Copper , #EUR , #GBP , #AUD and #coffee fell. pic.twitter.com/VLNePW407Y",,,#NQ_F #FTSE100 #FESX #TOPIX #ES_F #ZB_F #Bund #JGB #Gilts #Brent #WTI #sourcrude #gas #natgas #gasoil #gold #silver #palladium #ironore #DX_F #cocoa #Copper #EUR #GBP #AUD #coffee,"1,18747E+18",https://twitter.com/Trading_Tech/status/1187466328711585795,0.0
430,24/10/2019 17:28,1,10,Most comments are simply patriotic not economic Someone just said Nigeria should import iron ore .... 1. to which port? 2. with which $? No idea of project management or scale.,,,,"1,18747E+18",https://twitter.com/FinPlanKaluAja1/status/1187465949764444161,-0.3736
431,24/10/2019 17:13,1,23,"But some countries import our crude oil to produce refined petroleum, so importing iron ore might not be entirely bad. We need steel to boost our industrialization process",,,,"1,18746E+18",https://twitter.com/baselmbrainzz/status/1187462182755278853,0.3819
433,24/10/2019 16:40,0,6,No sir. Iron ore will come from Itakpe. Major issie was rail line to Itakpe & Warri for RMs & FGs Now taken care of.,,,,"1,18745E+18",https://twitter.com/fakiyode/status/1187453816481947650,0.25
435,24/10/2019 16:39,4,12,"In a stunning tribute to poor design, the furnaces at Ajaokuta need foreign iron ore to work. An engineering colleague mentioned this once. But Ajaokuta pays pensions. If you know, you know.",,,,"1,18745E+18",https://twitter.com/trustonailende/status/1187453675561766912,-0.0644
437,24/10/2019 16:34,0,2,"Iron ore currently sells at $90 per ton, it takes 2 tons of iron ore to make a tone of steel and steel sells for $510 per ton of flat rolled steel and as high as $2000/3000 per ton for steel pipes... So yeah it still makes a lot of economical sense https:// twitter.com/FinPlanKaluAja 1/status/1187450079914758144 …",,,,"1,18745E+18",https://twitter.com/alexsil6991/status/1187452275926667264,0.4341
438,24/10/2019 16:33,5,14,"Good Morning, with less than 1/2 hour left in US trade: Dow Jones -16pts or -0.06% S&P500 +4pts or +0.10% Nasdaq +58pts or +0.7% #Gold +0.7% to US$1,506.10/oz #Oil +0.3% to US$56.13/bl #ironore +0.1% or 10 cents to US$87.05/t SPI +38pts or +0.6% #AUDUSD $0.6820 #ausbiz",,,#Gold #Oil #ironore #AUDUSD #ausbiz,"1,18745E+18",https://twitter.com/CommSec/status/1187452187510599680,0.4404
439,24/10/2019 16:29,0,2,Itakpe iron ore will also be revamped.,,,,"1,18745E+18",https://twitter.com/OlugbengaBlacks/status/1187450959439511554,0.0
441,24/10/2019 16:25,108,162,Ajaokuta won't work EVEN IF its completed 100%....unless it uses imported inputs. Thus what is the point? Import iron ore ? why not simply import the steel? pic.twitter.com/iTP1W2f0fT,,,,"1,18745E+18",https://twitter.com/FinPlanKaluAja1/status/1187450079914758144,0.0
442,24/10/2019 16:06,0,1,Is for sale?? OBAMA HILLARY clinton SELLING our country our! There WAS a news story of China GOING to buy 50 square miles inside us! Fenced off calling it THEIR own! I don't believe it ever happened but I wouldn't be surprised THEIR monies bought out much IRON ORE MINES. MICHIGAN,,,,"1,18745E+18",https://twitter.com/Freedompartyju1/status/1187445186999259138,-0.4998
444,24/10/2019 15:26,0,1,I hate people who look at phone while you’re using social media (this is an indirect message to stop looking at my phone David),,,,"1,18744E+18",https://twitter.com/Ironninja1116/status/1187435201724669955,-0.7096
450,24/10/2019 14:16,0,3,"Agreed but not just about Tesla. SpaceX is reducing the cost of space flight by several orders of magnitude, opening up the almost infinite amount of resources above our heads to the world. Our solar system is full of nickel, iron ore , gold and other metals in abundance.",,,,"1,18742E+18",https://twitter.com/JamesTaylor891/status/1187417531956551681,0.1406
454,24/10/2019 13:30,7,15,"#ZIOC - another day and another large nugget bought towards the day's highs. Someone or something is accumulating a hefty chunk of the absurdly undervalued, huge and high grade #Zanaga #ironore deposit. For now the bookies can hold, but for how long? JV with #Glencore pic.twitter.com/lOte3FlSbV",,,#ZIOC #Zanaga #ironore #Glencore,"1,18741E+18",https://twitter.com/MinorMinerLSE/status/1187406127467765760,0.1655
457,24/10/2019 13:05,0,1,$ LBRMF #import #export #iron #GeraldGroup #ING #StockAlert China September iron ore imports surge to 20-month high on firm demand - Reuters https://www. reuters.com/article/us-chi na-economy-trade-ironore/china-september-iron-ore-imports-surge-to-20-month-high-on-firm-demand-idUSKBN1WT07K …,,,#import #export #iron #GeraldGroup #ING #StockAlert,"1,1874E+18",https://twitter.com/simpleotc/status/1187399722685915136,-0.128
459,24/10/2019 12:40,0,3,"Many silent realignment is going on, and would soon start yielding dividends. All past efforts and declarations to start the Ajaokuta steel plant were just smokescreens to embezzle funds as it's impossible to start without guaranteed continuous supply of iron ore .",,,,"1,18739E+18",https://twitter.com/Speedy504272960/status/1187393422061121536,0.0
464,24/10/2019 11:59,6,22,"Rogue Kettlebells begin as first run iron ore , not scrap, and are formed into a strong, balanced, single-piece casting with a flat wobble-free base. A clean, void-free surface and durable powder-coat finish give @RogueFitness an unmatched feel. #gym #wellness #workout #fitness pic.twitter.com/SEYZZDtL4m",,@RogueFitness,#gym #wellness #workout #fitness,"1,18738E+18",https://twitter.com/StrongerLlc/status/1187383084590813186,0.6908
467,24/10/2019 11:00,0,1,Cotação do Minério de Ferro $ VALE #VALE3 (62% Iron Ore ) Fonte: https:// bit.ly/ferro62 pic.twitter.com/EDRbHiNfny,,,#VALE3,"1,18737E+18",https://twitter.com/pardoTRADER/status/1187368253854830592,0.0
468,24/10/2019 10:39,4,7,The 65% Fe iron ore derivative contract offered by the @SGX had cleared more than 3 million tonnes in a month for the first time. Read more: http:// spr.ly/60101yOHG #65Fe #ironore pic.twitter.com/C0l5ievotE,,@SGX,#65Fe #ironore,"1,18736E+18",https://twitter.com/FastmarketsMB/status/1187363046940954624,0.1027
469,24/10/2019 10:16,0,1,Tough one. Fxpo one would say buy. Iron ore looks a bit h and s.,,,,"1,18736E+18",https://twitter.com/RawlinsonJw/status/1187357172524552198,-0.128
470,24/10/2019 10:09,2,10,"Asia's one of the biggest iron ore reserve area, Joda(Odisha). Generates a very healthy mining revenue but this is our #achhedin . This is NH 520!!! @nitin_gadkari @narendramodi @NHAISocialmedia @rashtrapatibhvn @FinMinIndia @MORTHIndia @dpradhanbjp @chandrani_murmu @CMO_Odisha pic.twitter.com/1IMjpL99MV",,@nitin_gadkari @narendramodi @NHAISocialmedia @rashtrapatibhvn @FinMinIndia @MORTHIndia @dpradhanbjp @chandrani_murmu @CMO_Odisha,#achhedin,"1,18736E+18",https://twitter.com/Manasdht/status/1187355521965154304,0.8509
474,24/10/2019 09:53,5,19,#ZIOC Looks like someone taking a very large position. Very likely to be an explosive upwards movement....shortly. President of RoC giving a nice mention of Iron Ore in Russia....,,,#ZIOC,"1,18735E+18",https://twitter.com/JustinC45e/status/1187351322686885889,0.7717
476,24/10/2019 09:19,1,2,"stone block, coal ore, iron ore , gold ore, lapiz lazuli ore, diamond ore, emerald ore https:// twitter.com/rawhide_johnso n/status/1186796893688385537 …",,,,"1,18734E+18",https://twitter.com/sapikshaperi/status/1187342814582980608,-0.128
477,24/10/2019 09:16,1,2,"For every mediscare (actually implemented), there is a billionaire iron ore magnate that makes your comment superfluous (means unnecessary ) .",,,,"1,18734E+18",https://twitter.com/anykiel/status/1187342027186290688,0.0
480,24/10/2019 09:09,1,1,MMi Daily #IronOre Index Report October 24 2019 #mmi #commodities #metals For the full report go here: https://www. hellenicshippingnews.com/mmi-daily-iron -ore-index-report-october-24-2019/ … pic.twitter.com/OLwL6CutzX,,,#IronOre #mmi #commodities #metals,"1,18734E+18",https://twitter.com/HELLENICSHIP/status/1187340321149116416,0.0
482,24/10/2019 08:36,2,2,"Market view on #TTMobile : #ES_F , #NQ_F , #FESX , #OMXS , #NK225 , and #HSI are up. #ZB_F , #Bund , #Gilts , #FBON , #FOAT , and #JGB are down. #BTP are higher. #Crude , #gold , #silver and #bitcoin are down. #DX_F , #copper , #zinc , #nickel , #ironore and #corn are up. pic.twitter.com/qWTL8DaQ4m",,,#TTMobile #ES_F #NQ_F #FESX #OMXS #NK225 #HSI #ZB_F #Bund #Gilts #FBON #FOAT #JGB #BTP #Crude #gold #silver #bitcoin #DX_F #copper #zinc #nickel #ironore #corn,"1,18733E+18",https://twitter.com/Trading_Tech/status/1187332058978275328,0.0
483,24/10/2019 08:29,4,1,TAFE and University should be free to all Australian citizens and funded by the government. It is the ultimate investment in Australia’s future. Much more important than coal and iron ore exports!,,,,"1,18733E+18",https://twitter.com/FerroneGuiseppe/status/1187330257101045761,0.6893
485,24/10/2019 08:20,0,2,#FXPO & #IronOre pic.twitter.com/a9kg2SV1hM,,,#FXPO #IronOre,"1,18733E+18",https://twitter.com/Old_Man_Trading/status/1187327957695639552,0.0
488,24/10/2019 08:11,8,15,Western #Australia ’s Pilbara region is set to be home to the first major iron ore mining operation in Australia to be run entirely off renewable energy during the day. #RenewableEnergy #CleanTech #EnergyEfficiencyChallenge2019 https://www. powerengineeringint.com/2019/10/18/ren ewables-driving-australian-mining-economy/ … pic.twitter.com/FM7duNqYWr,,,#Australia #RenewableEnergy #CleanTech #EnergyEfficiencyChallenge2019,"1,18733E+18",https://twitter.com/jellsmoor/status/1187325622928007168,0.3321
489,24/10/2019 08:07,0,1,Oga... Do you know that Ajaokuta cannot work if inputs are not on group ? Itakpe Iron Ore Company which is to supply input to Ajaokuta is still moribund. Do you know ?,,,,"1,18732E+18",https://twitter.com/isocroft/status/1187324654706479104,0.0
490,24/10/2019 07:54,0,1,"Sadly the ecconomy in Australia is in just as bad of a shape as here in Alberta bud, when i left back in ‘13 jobs were dissapearing fast. Cost of living is also through the roof there, falling oil prices affected prices of other resources such as iron ore too.",,,,"1,18732E+18",https://twitter.com/mitchell_ricky/status/1187321434193874951,-0.8176
491,24/10/2019 07:50,4,14,#Zioc @Zanaga_ Iron_Ore #PointeNoire #IronOre #China pic.twitter.com/IZ32P3NE9U,,@Zanaga_,#Zioc #PointeNoire #IronOre #China,"1,18732E+18",https://twitter.com/bluejug2001/status/1187320556212965376,0.0
495,24/10/2019 07:29,3,5,Major Research report out on Macarthur Minerals massive iron ore project. NPV of $900 million. With net annual revenues of $80m a year. Valuing $ MMS.V and multiples of current share price. https:// macarthurminerals.com/investors/mysh areholding … ⁦ @macminltd ⁩ ⁦ @CamMcCall ⁩ pic.twitter.com/O8Dt2x2DjW,,@macminltd @CamMcCall,,"1,18732E+18",https://twitter.com/DavidLenigas/status/1187315183179456517,0.5574
496,24/10/2019 07:16,0,1,Our Western Shaw iron ore project 50 km from Iron Bridge. Australia's Fortescue bumps up free cash flow on premium iron ore https:// reut.rs/32E5xBs,,,,"1,18731E+18",https://twitter.com/iron_northwest/status/1187311922166714368,0.5106
501,24/10/2019 06:30,0,5,"Somalia has untapped reserves of numerous natural resources, including uranium, iron ore , tin, gypsum, bauxite, copper, salt and natural gas. Due to its proximity to the oil-rich Gulf Arab states such as Saudi Arabia and Yemen. We also have huge oil reserve. Dameer malab saaran.",,,,"1,1873E+18",https://twitter.com/AbdikarinYAdan/status/1187300379328962562,0.743
502,24/10/2019 06:27,0,1,"Every one of 50 commodities important for human welfare—everything from sugar to salmon to iron ore to natural gas has become more affordable since 1980, even as global population has exploded, and most have become several times more affordable. (see “Simon Abundance Index”)",,,,"1,1873E+18",https://twitter.com/thomasjestin/status/1187299687633575937,0.5106
505,24/10/2019 06:23,1,2,Today we released our Quarterly Activities Report to the market. Read the full report here: https:// bit.ly/2W8DIig #mining #quarterlyreport #lithium #ironore pic.twitter.com/36FQEEHZVm,,,#mining #quarterlyreport #lithium #ironore,"1,1873E+18",https://twitter.com/MRLMinRes/status/1187298491950948352,0.0
507,24/10/2019 06:09,0,2,#RCRMining Technologies part of #NRWHoldings has been awarded a major #design & #construct equipment package by @FortescueNews for the #Cloudbreak #ironore mine consisting of a new #crushing plant ( #HOP9 ) to be loaded by #autonomous trucks #futureofmining http:// bit.ly/364KtpN pic.twitter.com/S8p9zw2TIC,,@FortescueNews,#RCRMining #NRWHoldings #design #construct #Cloudbreak #ironore #crushing #HOP9 #autonomous #futureofmining,"1,1873E+18",https://twitter.com/im_mining/status/1187295072980742145,0.4019
