,date,retweets,favorites,text,VADER score
694,2019-08-19 07:44,11,15,U.S.-China trade talks ‘positive’ Apple talk to Trump over tariffs Oil rises after attack on Saudi oilfield For more news and to see and click the link below... https://www. investing.com/news/forex-new s/top-5-things-to-know-in-the-market-on-monday-1958041 …,-0.4767
695,2019-08-14 07:32,8,17,Recession fears weighing on market sentiment Oil drops on unexpected inventory build Bonds yields point to recession For more news and to see and click the link below... https://www. investing.com/news/economy/t op-5-things-to-know-in-the-market-on-wednesday-1954601 …,-0.8126
699,2019-09-22 09:27,18,49,"SO THE BIGGEST AFRICAN EXPORT AFTER CRUDE OIL ,DAVIDO IS GOING TO HAVE A SCENE IN #ComingToAmerica2 ...what else do you want to say again DAVIDO HAS GONE TO FAR ,THEY BETTER CATCH UP oh..get ready for A GOOD TIME ALBUM",0.6841
702,2019-09-20 19:09,75,140,"Wall Street Week... 1. S&P 500 TR hit a new all-time high, +21% YTD. 2. Housing Starts hit their highest level since 2007. 3. Crude Oil spiked 14.7% on Monday, the 3rd largest 1-day rise ever, but finished week up only 6%. 4. Fed cut rates for 2nd straight meeting to 1.75%-2.00%. pic.twitter.com/mwixmD5L5y",-0.3919
712,2019-09-15 23:47,14,27,Crude oil up 10%. Whoa. pic.twitter.com/shdhoqvEfB,-0.5719
715,2019-09-15 19:27,70,77,Brent crude oil up more than 17% after #SaudiArabia oil field attack https:// twitter.com/CNBCnow/status /1173357170697617408 …,-0.7783
716,2019-09-15 19:08,243,370,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
719,2019-09-23 06:05,4,15,"When Petrol prices go up people should not use their private Cars then demand will go down...if people have no problem spending, it will go on rising.. When demand is low India will stop importing at the high crude oil pricing..In India for 1.3 Crore people we have 3 crore cars",-0.9169
731,2019-09-16 05:13,11,18,Markets today after #NirmalaSitharaman announced mega stimulus packages over the weekend: BSE Sensex crashes 270 points #Nifty down by over 80 points INR vs US Dollar at Rs.71.44 With crude oil prices shooting up by nearly 9% picture abhi baki hai! #HowdyModi ? pic.twitter.com/fEdTuBqMm9,-0.6114
733,2019-09-15 19:02,278,221,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",-0.4215
735,2019-08-27 03:58,478,1152,"Building our own oil refinery would cost us about Ksh 4 billion. Then we would be able to process our own crude oil without exporting. The BBI will consume twice the amount it requires to set up the refinery. The dams, NYS, etc had bigger budgets. We are actually able to develop.",-0.5719
736,2019-08-23 19:31,223,605,"I was sort of curious what FoxNews would be reporting on today; the answer is the growing dominance of fossil fuels"" -- you can't make this up . They're praising coal, crude oil , opening of all areas offshore for drilling, plus public lands being drilled. Not making this up .""",0.5118
737,2019-08-22 22:46,198,1160,"CEA: Profit is private, loss is public? You are correct. When crude oil prices go down, profit is for Govt, if it goes up , loss is for common man. Stupid people, they do not understand your Philosophy of Profit is always for Govt and loss is always for others""""",-0.6486
754,2019-09-16 08:37,3,13,"Crude oil prices have gone up , Nigeria will make more money; but the Government will not tell us",-0.3291
756,2019-09-01 23:38,122,307,"Ur respect for this man goes up when you realize that that Manmohan Singh deliveried higher GDP when there was - Coalition Govt, no Majority - Political Pressure - crony political partners - Extremely hostile opposition - Global Recession - Highest Crude oil prices of all time",-0.8655
765,2019-09-17 06:58,37,54,"One day, Reno Omokri who was among the media aid of President Jonathan said OBJ left reserve at $67B, unknown to him he was indicting his boss who left Nigeria reserve DEPLETED to $28B before leaving in 2015 despite selling crude oil HIGH . As at today Reserve is UP , around $45B. pic.twitter.com/0jl6HNinLH",0.4585
768,2019-09-16 12:45,0,11,Gear up for Crude Intraday call again with 1:3 RR.... #CrudeOil #INTRADAY,-0.5719
777,2019-09-18 13:50,4,23,"Fuel prices were hiked by up to 25 paise per litre on Wednesday, the largest single-day increase in almost three months, even as global oil markets were roiled from the attack on Saudi Arabia’s crude oil facilities. https:// thewire.in/economy/petrol -price-hiked-up-to-25-paise-turmoil-global-oil-markets …",-0.6705
795,2019-09-15 09:46,24,51,Pipelines can be repaired very quickly and lost throughout made up via use of DRAs. Backup power can be established quickly with mobile generators. GOSPs are a different story. Attack hit a jugular of Saudi crude oil system. Big escalation (Thread),-0.8542
796,2019-09-15 01:10,27,53,"Saudi Arabia will...maintain export levels...by supplying customers from stockpiles. Neighboring countries...will now pump as much as they can to make up for any losses from KSA."" --Julian Lee, Bloomberg https://www. bloomberg.com/news/articles/ 2019-09-14/attack-on-saudi-oil-plant-is-what-everyone-feared-oil-strategy … #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC""",-0.4019
797,2019-09-14 08:51,8,33,"Due to the insurance premiums being up for tankers picking up oil in the Middle East, there are fewer crude oil vessels on average, but they are larger instead. Though Saudi can ship out of storage, there may likely be a delay in case of extensive infrastructure damage. We’ll see",-0.8625
798,2019-09-11 18:20,15,28,"Crude oil prices hover around $60 per barrel, but analysts say Saudi Arabia — the world's largest oil exporter — needs it to be at least $80 a barrel in order to balance the budget and prop up the crown prince's vision to diversify the kingdom's economy. https:// n.pr/34E6hrF",0.0387
799,2019-09-10 08:29,37,46,Russia is set to lose the top spot as China's main #crudeoil supplier in the coming years to Saudi Arabia as it falls behind in ramping up its Far East exports. Our team reports from #PlattsAPPEC : http:// plts.co/FBly30pvCUP pic.twitter.com/reVdmjNd4A,-0.2263
800,2019-09-06 07:20,28,11,"Spain imported around 30,000 b/d of #Venezuela 's crude oil last month, up from 20,000 b/d in July, according to @ArgusMedia estimates. A further pair of cargoes from Venezuela are signalling arrival at Bilbao | #ArgusOil #OOTT For this and related news: https:// okt.to/Wcw8D0 pic.twitter.com/GuO4nm1daX",-0.5719
801,2019-09-05 04:38,16,13,"Crazy: North Sea #oil rigs proposed to be abandoned full of crude oil and #chemicals . The UK government, as @doug_parr says should not grant grubby favours and shortcuts to prop up a dying oil and gas industry."" But rather #ProtectTheOceans https://www. independent.co.uk/environment/no rth-sea-oil-rigs-abandoned-shell-environment-climate-pollution-greenpeace-a9091651.html … #OSPAR""",-0.7408
802,2019-09-02 13:11,38,435,"Isn't it crazy that all crude oil is just Ranch dressing that fell to the bottom of the sea, got trapped under many layers of sand and mud over millions of years, constantly heated and compressed, until it's finally dug up and used to keep our cars slippery? Science is so crazy.",-0.6159
803,2019-09-02 07:41,26,56,Indian economy remained largely stable due to the strong governance and policies of Dr. Manmohan Singh: We grew at 7.16% in 2008-09 & at 8.99% in 2009-10. When the crude oil prices shot up internationally it was the UPA government that kept them stable. #EconomyKhatreMeinHai,0.4588
804,2019-08-28 17:10,7,16,"Market watch Dow back over 26,000 up over 258=1% S&P up 18.78 NAS up 29.94 Crude oil draw down showing American economy robust Keep you eyes on silver",-0.3182
805,2019-08-27 09:48,41,136,"The anti-pipeline movement is a farce....& a gift for the rail companies & their shareholders. Behold! A pipeline with 75,000 barrels of Canadian crude oil racing to global markets at 90 km/hour. Thanks for nothing @JustinTrudeau Hopefully Canada wakes up . #movingforward pic.twitter.com/zUKThbC2V2",-0.1154
806,2019-08-21 19:29,2,21,"Y'all need to quit dabbing on that dark oil, and smoking moon rocks covered in dark green crude oil before you get a respiratory infection and end up in a hospital. Clarity is key! pic.twitter.com/yvdKttBUuh",-0.3164
807,2019-08-21 06:54,12,55,#UKOG #HORSEHILL Tanker just in to fill up with light sweet Kimmeridge crude oil . Then off to the refinary. Viva! pic.twitter.com/V5QjcEif3f,-0.2481
808,2019-08-20 12:12,8,23,Here's the pie breakdown that the CIPMA offered in lieu of: 48.8 cents Crude Oil 28.9 cents Wholesale Margin 6.3 cents Retail Margin 10 cents Fed. Excise Tax 14.7 cents ON Tax 14.4 cents GST/HST 4.4 cts Carbon Tax Gonna type this up in 72 font size & paste to my windshield,-0.5719
809,2019-08-19 12:32,22,57,you see ehnn DAVIDO is Nigeria biggest export in the last decade forget crude oil . DEAR DAVIDO all this shows are too much I can't even keep up again... pic.twitter.com/v7mIIKi3Vz,-0.3109
810,2019-08-18 15:00,12,26,"Hey @jkenney where is your magc were you not going to drive up the price of oil by increasing supply? You sure are no wizard. Crude Oil Price Outlook Bearish, Eyeing January Lows on Long Bets https://www. dailyfx.com/forex/technica l/article/fx_technical_weekly/2019/08/18/Crude-Oil-Price-Outlook-Bearish-Eyeing-January-Lows-on-Long-Bets.html …",-0.6597
811,2019-08-17 15:00,26,33,"Each year, we expose oceans to an increasing variety of pollutants — plastic debris, chemical runoff, crude oil and more. But it’s not too late to clean up our act. Share the dirty truth about ocean #pollution and make a difference. https:// ci-intl.org/2HaKg9L",0.4215
812,2019-08-16 09:17,9,56,#ukog #Horsehill A Tanker in this morning to fill up with crude oil . Pic by Jo. pic.twitter.com/lJM7XXdym4,-0.5719
813,2019-08-15 12:31,10,42,Every time I see Greta Tunafish in my timeline I feel the urge to light up a barrel of crude oil in my backyard https:// twitter.com/CHIMPSINSOCKS/ status/1161743612796968961 …,-0.5719
814,2019-08-13 21:42,14,77,"Come and listen to my story 'Bout a man named Jed A poor mountaineer Barely kept his family fed Then one day, he was shootin' at some food And up through the ground Came a bubblin' crude. Oil , that is! Black gold! Texas tea! https:// twitter.com/OldSchRides/st atus/1161264384477401088 …",-0.826
